"Day","Sales","Trading Profit","Operating Expense","Net Profit"
1,0,0,12600,-12600
2,0,0,218520,-218520
3,98808,40428,280140,-239712
4,187940,85002,311760,-226758
5,332649,159911,343380,-183469
6,473418,232967,375354,-142387
7,585739,294624,407922,-113298
8,685606,349104,444102,-94998
9,825773,408937,477938,-69001
10,1505855,706341,512342,193999
11,2158366,1039938,586310,453628
12,2906180,1446895,624494,822401
13,3522344,1729669,667061,1062608
14,4027094,1887570,705653,1181917
15,4091827,1927297,747873,1179424
16,4247302,1998152,786772,1211380
17,6421141,3029586,864992,2164594
18,6544093,3098739,903552,2195187
19,6735912,3186822,946056,2240766
20,7010877,3414753,1050810,2363943
21,7272659,3548801,1094303,2454498
22,7523746,3678366,1143273,2535093
23,7840289,3769830,1186402,2583428
24,8155941,3906045,1229487,2676558
25,8398084,4031746,1278735,2753011
26,9735880,4652931,1366511,3286420
27,9980306,4719075,1409636,3309439
28,10238752,4841588,1477537,3364051
29,10454580,4976052,1523996,3452056
30,10653660,5095958,1572527,3523431
31,10860671,5156452,1623778,3532674
32,11017572,5244244,1671257,3572987
33,12508507,5923533,1754504,4169029
34,12664639,6028622,1802021,4226601
35,12818634,6132174,1852061,4280113
36,13051805,6255636,1899917,4355719
37,13813038,6740399,1947819,4792580
38,14593067,7219395,2032258,5187137
39,16579284,8257856,2087794,6170062
40,17145130,8510784,2150327,6360457
41,17554961,8877885,2205452,6672433
42,17963760,9112412,2322683,6789729
43,18108474,9210596,2388455,6822141
44,18326449,9284249,2447946,6836303
45,19995977,10049987,2505836,7544151
46,20139787,10158326,2564142,7594184
47,20467625,10321962,2623925,7698037
48,20546579,10381518,2686025,7695493
49,20669330,10459170,2745854,7713316
50,20769531,10514256,2804410,7709846
51,21957455,10918739,2862201,8056538
52,22069015,10992502,2924432,8068070
53,23122523,11383458,2982589,8400869
54,23210672,11436288,3042746,8393542
55,23902451,11859605,3100903,8758702
56,24775386,12331684,3163130,9168554
57,25204988,12599141,3221489,9377652
58,25841749,13036023,3283946,9752077
59,25970966,13115670,3346298,9769372
60,26144856,13157894,3405388,9752506
61,26400163,13245481,3471074,9774407
62,26573931,13346353,3532126,9814227
63,27788469,14063395,3624598,10438797
64,28261837,14171558,3681914,10489644
65,28407086,14295369,3737245,10558124
66,28553388,14404356,3794483,10609873
67,29254993,14902664,3921721,10980943
68,29411004,14951770,3979017,10972753
69,29555424,15066182,4034313,11031869
70,29871673,15271988,4089693,11182295
71,30360492,15504193,4146454,11357739
72,30488007,15616769,4197544,11419225
73,30849466,15795670,4268030,11527640
74,31522438,16093253,4319516,11773737
75,31907545,16309103,4373182,11935921
76,32298437,16496086,4426849,12069237
77,32831991,17012301,4478335,12533966
78,34347848,18189639,4532062,13657577
79,35272325,18996754,4583609,14413145
80,36192342,19791867,4637507,15154360
81,38282943,20923412,4696380,16227032
82,39226891,21701913,4753413,16948500
83,39391423,21827070,4806568,17020502
84,39558837,21991681,4859742,17131939
85,39706823,22126651,4915245,17211406
86,39862826,22243256,4983367,17259889
87,42166149,22674550,5053853,17620697
88,42914002,22930862,5128623,17802239
89,43068757,23051287,5217683,17833604
90,43222310,23169271,5283503,17881768