"Day","Sales","Trading Profit","Operating Expense","Net Profit"
31,10860671,5156452,1623778,3532674
32,11017572,5244244,1671257,3572987
33,12508507,5923533,1754504,4169029
34,12664639,6028622,1802021,4226601
35,12818634,6132174,1852061,4280113
36,13051805,6255636,1899917,4355719
37,13813038,6740399,1947819,4792580
38,14593067,7219395,2032258,5187137
39,16579284,8257856,2087794,6170062
40,17145130,8510784,2150327,6360457
41,17554961,8877885,2205452,6672433
42,17963760,9112412,2322683,6789729
43,18108474,9210596,2388455,6822141
44,18326449,9284249,2447946,6836303
45,19995977,10049987,2505836,7544151
46,20139787,10158326,2564142,7594184
47,20467625,10321962,2623925,7698037
48,20546579,10381518,2686025,7695493
49,20669330,10459170,2745854,7713316
50,20769531,10514256,2804410,7709846
51,21957455,10918739,2862201,8056538
52,22069015,10992502,2924432,8068070
53,23122523,11383458,2982589,8400869
54,23210672,11436288,3042746,8393542
55,23902451,11859605,3100903,8758702
56,24775386,12331684,3163130,9168554
57,25204988,12599141,3221489,9377652
58,25841749,13036023,3283946,9752077
59,25970966,13115670,3346298,9769372
60,26144856,13157894,3405388,9752506